ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;link;ipva_pago;alienado;licenciado;nao_identificado;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;garantia_de_fabrica
2014/2015;69.000;Manual;Hatchback;Gasolina;8;Branco;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2014-2015/36127863?pos=a36127863g:&np=1;;;;;;;
2014/2014;40.000;Manual;Hatchback;Gasolina e álcool;5;Prata;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2014/33602427?pos=b33602427c:&np=1;Sim;Sim;Sim;;;;
2016/2017;96.000;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/31196299?pos=c31196299c:&np=1;Sim;Sim;Sim;;;;
2015/2016;72.000;Manual;Hatchback;Gasolina e álcool;4;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/37111630?pos=d37111630g:&np=1;Sim;;;;;;
2013/2013;110.000;Manual;Hatchback;Gasolina e álcool;3;Branco;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2013/19250262?pos=e19250262c:&np=1;Sim;;Sim;;Sim;Sim;
2015/2015;59.000;Manual;Hatchback;Gasolina e álcool;2;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37168919?pos=f37168919g:&np=1;Sim;;;;;;
2018/2019;25.000;Automática;Hatchback;Gasolina e álcool;3;Branco;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-1-million-16v-flex-4p-automatico/4-portas/2018-2019/37212767?pos=g37212767g:&np=1;Sim;;;;;Sim;Sim
2016/2016;59.160;Automática;Hatchback;Gasolina e álcool;3;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/37518492?pos=h37518492g:&np=1;Sim;;Sim;;;;
2019/2019;22.400;Automática;Hatchback;Gasolina e álcool;7;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/3-portas/2019/37549272?pos=i37549272m:&np=1;Sim;;Sim;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37557637?pos=j37557637m:&np=1;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37558167?pos=k37558167m:&np=1;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37558348?pos=l37558348m:&np=1;;;;;;;
2015/2015;62.000;Manual;Hatchback;Gasolina e álcool;3;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37566101?pos=m37566101g:&np=1;;;;;;;
2017/2017;25.000;Manual;Hatchback;Gasolina e álcool;2;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2017/37623508?pos=n37623508g:&np=1;;;;;;;
2017/2017;56.000;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2017/37628443?pos=o37628443g:&np=1;Sim;;Sim;;;;
2018/2019;28.882;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37641776?pos=p37641776m:&np=1;;;;;;;
2019/2019;13.723;Automática;Hatchback;Gasolina e álcool;1;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2019/37644353?pos=q37644353g:&np=1;;;;;;;
2019/2020;15.600;Manual;Hatchback;Gasolina e álcool;7;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/37657497?pos=r37657497g:&np=1;;;;;;Sim;Sim
2015/2015;67.000;Automática;Hatchback;Gasolina e álcool;2;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2015/36661551?pos=s36661551b:&np=1;Sim;;Sim;;;;
2014/2014;79.000;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2014/36199345?pos=t36199345a:&np=1;Sim;;;;;;
2013/2013;79.000;Manual;Hatchback;Gasolina e álcool;2;Vermelho;;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2013/33459625?pos=u33459625a:&np=1;Sim;;;;;Sim;
2014/2015;76.208;Manual;Hatchback;Gasolina e álcool;2;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2014-2015/36581229?pos=v36581229g:&np=1;;;;;;;
2017/2018;44.000;Manual;Hatchback;Gasolina e álcool;4;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/37673521?pos=w37673521g:&np=1;;;Sim;;;;
2015/2015;75.000;Manual;Hatchback;Gasolina e álcool;0;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/31470638?pos=x31470638a:&np=1;;;;;;Sim;
2019/2020;26.000;Manual;Hatchback;Gasolina e álcool;1;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36929980?pos=a36929980g:&np=2;Sim;;Sim;;;Sim;
2019/2019;32.576;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36987787?pos=b36987787g:&np=2;;;;;;;
2013/2014;88.000;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013-2014/36997362?pos=c36997362g:&np=2;;;;;;;
2017/2018;56.240;Manual;Hatchback;Gasolina e álcool;1;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/37670714?pos=d37670714g:&np=2;Sim;;Sim;;;Sim;
2018/2018;39.000;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2018/37095843?pos=e37095843g:&np=2;;;;;;Sim;Sim
2019/2020;40.000;Manual;Hatchback;Gasolina e álcool;8;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/37117066?pos=f37117066g:&np=2;;;;;;;
2014/2014;43.500;Manual;Hatchback;Gasolina;9;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2014/37131193?pos=g37131193a:&np=2;Sim;;Sim;;;;
2019/2019;37.723;Manual;Hatchback;Gasolina e álcool;1;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37236995?pos=h37236995g:&np=2;;;;;;;
2018/2019;17.150;Manual;Hatchback;Gasolina e álcool;4;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37240446?pos=i37240446g:&np=2;Sim;;Sim;;;;Sim
2017/2017;55.000;Manual;Hatchback;Gasolina e álcool;5;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37249297?pos=j37249297g:&np=2;;;;;;;
2018/2018;48.000;Automática;Hatchback;Gasolina e álcool;9;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-limited-16v-flex-4p-automatico/4-portas/2018/37255997?pos=k37255997g:&np=2;;;;;;;
2017/2018;53.195;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37674620?pos=l37674620g:&np=2;;;;;;;
2017/2018;29.000;Manual;Hatchback;Gasolina e álcool;8;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37354488?pos=m37354488g:&np=2;Sim;;Sim;;;Sim;Sim
2014/2015;52.370;Manual;Hatchback;Gasolina e álcool;0;Vermelho;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2014-2015/37373277?pos=n37373277g:&np=2;;;;;;;
2018/2018;16.064;Automática;Hatchback;Gasolina e álcool;2;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2018/37674496?pos=o37674496g:&np=2;;;;;;;
2020/2021;8.752;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37447760?pos=p37447760g:&np=2;;;;;;;
2019/2020;33.000;Automática;Hatchback;Gasolina e álcool;1;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/3-portas/2019-2020/37467790?pos=q37467790g:&np=2;;;;;;;
2013/2013;189.000;Automática;Hatchback;Gasolina e álcool;9;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37484577?pos=r37484577m:&np=2;Sim;;Sim;;Sim;;
2015/2016;83.000;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/37505583?pos=s37505583g:&np=2;;;;;;;
2019/2020;10.655;Manual;Hatchback;Gasolina e álcool;8;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/37513737?pos=t37513737g:&np=2;;;;;;;
2015/2015;99.533;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37669553?pos=u37669553g:&np=2;Sim;;Sim;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558408?pos=v37558408m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558458?pos=w37558458m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558890?pos=x37558890m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558943?pos=a37558943m:&np=3;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/37559294?pos=b37559294m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-diamond-automatico/4-portas/2021-2022/37559526?pos=c37559526m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559811?pos=d37559811m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559893?pos=e37559893m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559972?pos=f37559972m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560215?pos=g37560215m:&np=3;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-manual/4-portas/2021-2022/37560289?pos=h37560289m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560328?pos=i37560328m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560564?pos=j37560564m:&np=3;;;;;;;
2015/2016;41.922;Automática;Hatchback;Gasolina e álcool;4;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2015-2016/37575128?pos=k37575128g:&np=3;Sim;;Sim;;;;
2013/2013;189.000;Automática;Hatchback;Gasolina e álcool;9;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37584257?pos=l37584257g:&np=3;Sim;;Sim;;;;
2018/2019;9.699;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37593682?pos=m37593682g:&np=3;;;;;;;
2016/2016;43.648;Manual;Hatchback;Gasolina e álcool;2;Azul;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/3-portas/2016/37597084?pos=n37597084g:&np=3;;;;;;;
2020/2021;9.528;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37612450?pos=o37612450g:&np=3;Sim;;Sim;;;Sim;Sim
2017/2017;40.143;Automática;Hatchback;Gasolina e álcool;3;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2017/37665133?pos=p37665133g:&np=3;Sim;;Sim;;;;
2015/2015;99.533;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37616604?pos=q37616604g:&np=3;Sim;;Sim;;;;
2020/2021;4.600;Manual;Hatchback;Gasolina e álcool;9;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37626248?pos=r37626248g:&np=3;Sim;;Sim;;;Sim;Sim
2015/2016;95.000;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2015-2016/37629918?pos=s37629918g:&np=3;Sim;;Sim;;;;
2020/2021;4.800;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37639234?pos=t37639234g:&np=3;Sim;;;;;Sim;Sim
2019/2019;18.081;Manual;Hatchback;Gasolina e álcool;6;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37674533?pos=u37674533g:&np=3;;;;;;;
2013/2013;88.000;Manual;Hatchback;Gasolina;4;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/3-portas/2013/37645298?pos=v37645298g:&np=3;Sim;;Sim;;;Sim;
2015/2016;65.678;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-style-12v-flex-4p-manual/3-portas/2015-2016/37652410?pos=w37652410g:&np=3;Sim;;Sim;;;;
2017/2017;78.512;Manual;Hatchback;Gasolina e álcool;3;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37652971?pos=x37652971m:&np=3;;;;;;;
2013/2014;108.500;Manual;Hatchback;Gasolina;6;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2013-2014/37659351?pos=a37659351a:&np=4;;;;;;;
